Price,Date
6846,06/05/2023
6847,06/05/2023
6847,07/05/2023
6847,07/05/2023
6847,07/05/2023
6848,07/05/2023
6848,07/05/2023
6848,08/05/2023
6848,08/05/2023
6850,08/05/2023
6649,09/05/2023
6649,09/05/2023
6649,09/05/2023
6642,10/05/2023
6642,10/05/2023
6642,10/05/2023
6644,11/05/2023
6644,11/05/2023
6644,11/05/2023
6654,12/05/2023
6654,12/05/2023
6654,12/05/2023
6658,13/05/2023
6658,13/05/2023
6658,13/05/2023
6658,14/05/2023
6658,14/05/2023
6658,14/05/2023
6658,15/05/2023
6658,15/05/2023
6658,15/05/2023
6664,16/05/2023
6664,16/05/2023
6664,16/05/2023
6677,17/05/2023
6677,17/05/2023
6677,17/05/2023
6697,18/05/2023
6697,18/05/2023
6697,18/05/2023
6713,19/05/2023
5600,19/05/2023
6713,19/05/2023
6720,20/05/2023
6720,20/05/2023
6720,20/05/2023
6720,21/05/2023
6720,21/05/2023
6720,21/05/2023
6720,22/05/2023
6720,22/05/2023
6720,22/05/2023
5588,23/05/2023
5588,23/05/2023
