Price,Date
5456,06/05/2023
5456,06/05/2023
5456,07/05/2023
5456,07/05/2023
5456,07/05/2023
5456,07/05/2023
5456,07/05/2023
5456,08/05/2023
5456,08/05/2023
5456,08/05/2023
5456,09/05/2023
5456,09/05/2023
5456,09/05/2023
5456,10/05/2023
5456,10/05/2023
5456,10/05/2023
5456,11/05/2023
5456,11/05/2023
5456,11/05/2023
5456,12/05/2023
5456,12/05/2023
5456,12/05/2023
5456,13/05/2023
5456,13/05/2023
5456,13/05/2023
5456,14/05/2023
5456,14/05/2023
5456,14/05/2023
5456,15/05/2023
5456,15/05/2023
5456,15/05/2023
5456,16/05/2023
5456,16/05/2023
5456,16/05/2023
5456,17/05/2023
5456,17/05/2023
5456,17/05/2023
5456,18/05/2023
5456,18/05/2023
5456,18/05/2023
5456,19/05/2023
5456,19/05/2023
5456,19/05/2023
5456,20/05/2023
5456,20/05/2023
5456,20/05/2023
5456,21/05/2023
5456,21/05/2023
5456,21/05/2023
5456,22/05/2023
5456,22/05/2023
5456,22/05/2023
5456,23/05/2023
5456,23/05/2023
